"","Case","Images","DAB","Hem","Ratio","D_Objects","H_Objects","Object_Ratio"
"69","36","36_Control_p53_8_features_d.csv 36_Control_p53_8_features_h.csv",189801,1101876,0.172252594665824,519,1524,0.340551181102362
"70","36","36_Control_p53_9_features_d.csv 36_Control_p53_9_features_h.csv",118222,786813,0.150254253551988,298,1091,0.27314390467461
"71","36","36_Reactive_p53_1_features_d.csv 36_Reactive_p53_1_features_h.csv",289810,815887,0.355208503138302,718,1013,0.708785784797631
"72","36","36_Reactive_p53_10_features_d.csv 36_Reactive_p53_10_features_h.csv",250032,767159,0.325919398716563,885,1086,0.814917127071823
"73","36","36_Reactive_p53_2_features_d.csv 36_Reactive_p53_2_features_h.csv",218790,361565,0.605119411447458,636,541,1.17560073937153
"74","36","36_Reactive_p53_3_features_d.csv 36_Reactive_p53_3_features_h.csv",305778,612368,0.499336999973872,743,749,0.991989319092123
"75","36","36_Reactive_p53_4_features_d.csv 36_Reactive_p53_4_features_h.csv",313971,675484,0.464808936999248,999,922,1.08351409978308
"76","36","36_Reactive_p53_5_features_d.csv 36_Reactive_p53_5_features_h.csv",342410,720789,0.475048870057673,1047,1014,1.03254437869822
"77","36","36_Reactive_p53_6_features_d.csv 36_Reactive_p53_6_features_h.csv",290220,643927,0.450703262947508,1017,910,1.11758241758242
"78","36","36_Reactive_p53_7_features_d.csv 36_Reactive_p53_7_features_h.csv",319168,696629,0.458160656533104,1020,915,1.11475409836066
"79","36","36_Reactive_p53_8_features_d.csv 36_Reactive_p53_8_features_h.csv",239476,518905,0.461502587178771,707,719,0.983310152990264
"80","36","36_Reactive_p53_9_features_d.csv 36_Reactive_p53_9_features_h.csv",463984,957308,0.484675778328396,1449,1337,1.08376963350785
"81","36","36_Recurrent_p53_1_features_d.csv 36_Recurrent_p53_1_features_h.csv",257033,571022,0.450128016083443,633,844,0.75
"82","36","36_Recurrent_p53_10_features_d.csv 36_Recurrent_p53_10_features_h.csv",211096,592595,0.356223052843848,591,996,0.593373493975904
"83","36","36_Recurrent_p53_2_features_d.csv 36_Recurrent_p53_2_features_h.csv",228558,504454,0.453079963683507,660,802,0.822942643391521
"84","36","36_Recurrent_p53_3_features_d.csv 36_Recurrent_p53_3_features_h.csv",271660,520822,0.521598549984448,833,878,0.94874715261959
"85","36","36_Recurrent_p53_4_features_d.csv 36_Recurrent_p53_4_features_h.csv",315223,671735,0.469266898404877,818,1021,0.801175318315377
"86","36","36_Recurrent_p53_5_features_d.csv 36_Recurrent_p53_5_features_h.csv",210694,383962,0.548736593725421,681,678,1.00442477876106
"87","36","36_Recurrent_p53_6_features_d.csv 36_Recurrent_p53_6_features_h.csv",291849,629557,0.463578357479942,909,1127,0.806566104702751
"88","36","36_Recurrent_p53_7_features_d.csv 36_Recurrent_p53_7_features_h.csv",151842,345301,0.439738083585046,463,606,0.764026402640264
"89","36","36_Recurrent_p53_8_features_d.csv 36_Recurrent_p53_8_features_h.csv",214449,620845,0.345414717038874,638,1060,0.60188679245283
"90","36","36_Recurrent_p53_9_features_d.csv 36_Recurrent_p53_9_features_h.csv",259044,614872,0.42129744076816,657,912,0.720394736842105
"91","4","4_Control_p53_1_features_d.csv 4_Control_p53_1_features_h.csv",13930,601418,0.0231619273117865,20,924,0.0216450216450216
"92","4","4_Control_p53_10_features_d.csv 4_Control_p53_10_features_h.csv",8287,695591,0.0119136101530928,17,1008,0.0168650793650794
"93","4","4_Control_p53_2_features_d.csv 4_Control_p53_2_features_h.csv",11309,885162,0.0127761923806038,19,1316,0.0144376899696049
"94","4","4_Control_p53_3_features_d.csv 4_Control_p53_3_features_h.csv",25544,692719,0.0368749810529233,40,866,0.046189376443418
"95","4","4_Control_p53_4_features_d.csv 4_Control_p53_4_features_h.csv",23811,1021400,0.0233121206187586,30,1397,0.0214745884037223
"96","4","4_Control_p53_5_features_d.csv 4_Control_p53_5_features_h.csv",14467,662580,0.021834344531981,21,836,0.0251196172248804
"97","4","4_Control_p53_6_features_d.csv 4_Control_p53_6_features_h.csv",27022,1054234,0.0256318805881806,44,1202,0.0366056572379368
"98","4","4_Control_p53_7_features_d.csv 4_Control_p53_7_features_h.csv",14791,627030,0.0235889829832703,23,852,0.0269953051643192
"99","4","4_Control_p53_8_features_d.csv 4_Control_p53_8_features_h.csv",17709,1108534,0.0159751527693332,30,1388,0.0216138328530259
"100","4","4_Control_p53_9_features_d.csv 4_Control_p53_9_features_h.csv",14410,505680,0.0284962822338238,19,715,0.0265734265734266
"101","4","4_Reactive_p53_1_features_d.csv 4_Reactive_p53_1_features_h.csv",18126,320103,0.0566255236595721,25,415,0.0602409638554217
"102","4","4_Reactive_p53_10_features_d.csv 4_Reactive_p53_10_features_h.csv",7258,582544,0.0124591447169656,13,815,0.0159509202453988
